Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
DesignPatternsPHP,domnikl,9489445.0,2912165.0,5700580.399999999,15.035983397190293,2256845.680971967,alive,33.705613425925925,False,2023-09-28T07:03:55Z
nestjs-query,doug-martin,49571011.0,2014257.0,3454155.399999999,23.91125758301405,9184010.781149069,alive,23.313159722222224,False,2023-10-08T18:38:02Z
drone,drone,210887.0,25884.0,40043.39999999998,0.20252035440613028,39179.20963858179,alive,0.2995833333333333,True,2024-03-15T16:10:30Z
ProvisionQL,ealeksandrov,69471081.0,7465777.0,19116213.39999997,47.375598659003835,13589509.644840598,alive,86.40945601851851,verify,2024-02-11T16:31:58Z
queue,eapache,160867492.0,17922433.0,44288713.799999975,104.78848339719029,31251431.712689016,alive,207.43556712962962,False,2023-04-07T13:32:47Z
EasyNetQ,EasyNetQ,3232848.0,914105.0,1497524.1999999995,5.000382343550447,699056.5973820658,alive,10.579918981481482,True,2024-03-08T14:06:17Z
free-programming-books,EbookFoundation,75139.0,21919.0,41210.79999999994,0.06851013729246488,16952.820163400862,alive,0.2536921296296296,True,2024-03-14T15:31:05Z
Quake3e,ec-,946078.0,218170.0,776647.2,1.7262966954022987,265832.9238684762,alive,2.5251157407407407,True,2024-03-07T16:18:19Z
python-quickbooks,ej2,7955832.0,3583169.0,4946764.399999989,6.779247685185185,1943352.7803194737,alive,41.471863425925925,True,2024-03-12T20:42:14Z
logstash,elastic,414864.0,117333.0,247896.59999999983,0.689896232439336,92970.37706537143,alive,1.3580208333333332,True,2024-03-12T15:27:07Z
electron-quick-start,electron,2987198.0,722190.0,1826987.199999999,8.582208253512132,604804.1843712947,alive,8.358680555555555,True,2024-03-14T15:28:38Z
QuickApp,emonney,6736718.0,1167937.0,3453284.9999999953,7.254569763729246,1486514.4739033,alive,13.517789351851851,True,2024-02-17T23:19:16Z
awesome-react,enaqx,6663519.0,1088267.0,2414502.5999999987,6.303313777139208,1376318.1855482117,alive,12.59568287037037,verify,2024-02-03T08:24:43Z
qr-code,endroid,6897107.0,2336646.0,5524338.199999999,14.12457654853129,2017202.9026506606,alive,27.04451388888889,True,2024-03-08T11:24:40Z
neovim-qt,equalsraf,7559809.0,886303.0,3793417.5999999926,7.208688537675607,1665077.1658057536,alive,10.258136574074074,True,2024-03-03T20:42:45Z
material-theme,equinusocio,12124726.0,2101512.0,6706982.5999999875,10.688639846743294,2781005.7205056692,alive,24.323055555555555,True,2024-03-07T11:43:28Z
quagga2,ericblade,11614801.0,152876.0,3245870.1999999993,8.262181114303958,2249593.8468233007,alive,1.7693981481481482,verify,2023-12-18T17:22:17Z
jQuery,ermouth,57040809.0,14630326.0,54802623.0,101.41497445721585,16597283.450567197,alive,169.33247685185185,False,2018-06-21T05:09:29Z
eslint,eslint,262488.0,183259.0,193601.0,0.7071368135376757,74869.64254594868,alive,2.1210532407407405,True,2024-03-14T18:44:49Z
arcgis-maps-sdk-samples-qt,Esri,8128831.0,5459378.0,7749002.0,28.51457375478927,2598265.9770217775,alive,63.18724537037037,False,2023-12-07T00:21:14Z
statsd,etsy,42098348.0,6088061.0,16828852.39999999,40.23870170817369,8718287.254249308,alive,70.46366898148148,False,2023-08-22T12:52:19Z
quick-portfolio,evanca,49063064.0,6456087.0,43646462.59999999,125.45644943019943,17150381.45567355,alive,74.72322916666667,False,2023-08-18T06:38:33Z
qifi,evgeni,45127635.0,12723143.0,29967806.59999993,56.2433285440613,11291921.380851373,alive,147.25859953703704,False,2023-06-06T17:47:37Z
Quantumult_X,evilbutcher,69367895.0,7667426.0,13330585.799999954,37.102101293103445,13352206.504316194,alive,88.74335648148148,verify,2023-12-20T01:56:12Z
QuickLib,exilon,14427372.0,1866357.0,7984170.399999998,20.9142812100894,3414171.394855674,alive,21.601354166666667,True,2024-02-29T21:46:28Z
folly,facebook,300679.0,18795.0,167898.1999999997,0.41437300446998726,66390.93048810474,alive,0.21753472222222223,True,2024-03-15T15:58:11Z
fresco,facebook,322345.0,13637.0,227719.5999999999,0.9406158205619413,82469.94538591416,alive,0.15783564814814816,True,2024-03-14T22:48:59Z
jest,facebook,737236.0,62355.0,368168.1999999993,0.9922557471264368,158910.93189770193,alive,0.7217013888888889,True,2024-03-11T07:35:28Z
react,facebook,244178.0,8204.0,150640.19999999984,0.4770130906768838,56739.69916641323,alive,0.0949537037037037,True,2024-03-15T18:02:46Z
relay,facebook,271761.0,17507.0,137406.9999999998,0.4073168103448276,60076.752576581435,alive,0.2026273148148148,True,2024-03-15T17:33:20Z
rocksdb,facebook,244351.0,2784.0,170750.99999999997,0.45323315772669226,60077.6820947417,alive,0.03222222222222222,True,2024-03-15T18:43:28Z
yoga,facebook,435006.0,94035.0,359596.6,0.8301748084291187,129104.94419085828,alive,1.0883680555555555,True,2024-03-15T08:52:20Z
keras,fchollet,168016.0,12414.0,98859.19999999998,0.34913513729246487,40791.369193824525,alive,0.14368055555555556,True,2024-03-15T15:53:05Z
feathers,feathersjs,1376037.0,202095.0,1292026.2,2.817255348020434,422309.23596076603,alive,2.3390625,True,2024-03-13T17:21:50Z
qtkaifajingyan,feiyangqingyun,7791117.0,687133.0,4461921.199999999,14.757763010855685,1732759.302675152,alive,7.952928240740741,True,2024-03-09T02:12:24Z
QWidgetDemo,feiyangqingyun,8312621.0,408514.0,4548151.399999996,16.316217672413792,1852132.9550585027,alive,4.7281712962962965,True,2024-03-09T02:12:51Z
Qt,fengfanchen,27378655.0,12093526.0,13679594.19999998,39.40655651340996,5937372.533840547,alive,139.97136574074074,False,2023-06-14T00:41:14Z
awesome-cpp,fffaraz,617476.0,251355.0,423621.3999999999,1.338993454661558,146586.4117061729,alive,2.909201388888889,True,2024-03-13T10:20:17Z
quickstart-android,firebase,1855322.0,2299.0,1589190.0,6.496455140485312,520786.544097682,alive,0.026608796296296297,True,2024-03-07T23:53:56Z
quickstart-ios,firebase,2234943.0,8230.0,1093444.7999999998,4.556544141123882,502427.88263807556,alive,0.09525462962962963,True,2024-03-12T01:58:19Z
quickstart-java,firebase,50583959.0,10635097.0,45285614.99999998,67.65179278416348,14261225.892325372,alive,123.09140046296297,False,2023-06-30T21:48:23Z
quickstart-js,firebase,1849656.0,43453.0,607980.1999999997,1.7619193007662834,371079.9234030193,alive,0.5029282407407407,verify,2024-01-19T21:16:33Z
quickstart-unity,firebase,21203496.0,4763361.0,16059121.799999978,32.27791706577267,5567908.893887622,alive,55.13149305555555,verify,2024-01-23T22:39:19Z
