Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
quantumcomputingbook,JackHidary,22316759.0,64623265.0,7483812.199999982,14.575220705619412,4542161.899564017,dead,747.9544560185185,False,2021-10-14T01:05:35Z
QuiltViewLibrary,jacobmoncur,12796047.0,305977433.0,10544449.199999988,16.890306712962964,3525790.011944409,dead,3541.405474537037,False,2014-02-19T14:16:07Z
sigma,jacomyal,3628958.0,31231235.0,1211296.9999999995,2.720113745210728,719371.7460611063,dead,361.4726273148148,False,2011-07-26T11:29:23Z
QueryList,jae-jae,17550716.0,70397705.0,8113363.999999995,17.690424249680714,3828579.143755938,dead,814.7882523148148,False,2021-08-08T05:04:55Z
qbt-theme,jagannatharjun,15334422.0,66846353.0,4973514.199999995,18.27529493933589,3088619.5178207806,dead,773.6846412037037,False,2021-09-18T07:50:03Z
awesome-shodan-queries,jakejarvis,18320436.0,111573715.0,2865928.0,17.08967647707231,3963335.299894881,dead,1291.3624421296297,False,2020-04-18T15:18:05Z
ePub-quicklook,jaketmp,26931949.0,241754883.0,14614644.399999976,24.93503911238825,6090908.81290601,dead,2798.088923611111,False,2016-03-03T21:51:57Z
ActionBarSherlock,JakeWharton,43928035.0,279754618.0,1093034.9999999998,19.159994013409964,8135609.31573479,dead,3237.9006712962964,False,2014-12-20T02:23:02Z
butterknife,JakeWharton,5943848.0,99611988.0,3478734.3999999985,9.963233556832694,1496438.8751360779,dead,1152.9165277777777,False,2020-09-04T02:00:12Z
AudioQR,jamesonrader,15380709.0,81492640.0,8531486.799999993,24.681564096424008,3632941.5078626494,dead,943.2018518518519,False,2021-04-01T19:09:20Z
quixote,jamesshore,89805.0,111270354.0,4916.999999999996,0.042822477650063855,16604.364356836468,dead,1287.8513194444445,False,2020-04-22T03:34:06Z
CsQuery,jamietre,17493106.0,248612040.0,14732763.599999998,29.917369093231166,4876211.098078141,dead,2877.454166666667,False,2015-12-15T13:06:00Z
backbone,jashkenas,936495.0,7091692.0,192611.1999999998,0.7015972222222222,175611.8647901429,dead,82.07976851851852,True,2024-03-06T23:22:47Z
jboss-picketlink-quickstarts,jboss-developer,60811805.0,176998123.0,11087262.399999984,40.05287994891443,11430034.725626571,dead,2048.589386574074,False,2018-03-23T09:51:17Z
