Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Classification,TimeSinceLastCommit(days),Is_Alive,Status,Last_Commit_Date
querido-diario,okfn-brasil,12792699.0,79914.0,554514.9999999976,1.4521871620106575,592049.1943604357,alive,0.9249305555555556,True,verify,2024-01-22T15:17:11Z
Kingfisher,onevcat,4281010.0,208444.0,533112.25,1.1732880051610124,291297.8657149511,alive,2.4125462962962962,True,True,2024-02-14T15:29:34Z
computer-science,open-source-society,29360617.0,126773.0,1412681.5,3.4288023867091617,1234545.7507909103,alive,1.4672800925925926,True,True,2024-02-18T17:16:58Z
html-query,orf,9481127.0,280642.0,1448579.0,4.6579132433489825,1469128.1868295653,alive,3.248171296296296,True,verify,2023-12-15T21:58:00Z
QCSuper,P1sec,25555281.0,11950147.0,17114537.299999993,23.38253984997656,5291889.010122779,alive,138.31188657407407,True,True,2024-02-08T09:45:57Z
flask,pallets,3255822.0,289027.0,447654.89999999985,0.9563984270522695,206732.1096224326,alive,3.3452199074074076,True,True,2024-02-12T20:50:45Z
Queue,PEPLabs,15712503.000000002,6576985.0,12303804.250000002,37.500287422839506,6152645.970562631,alive,76.12251157407407,False,False,2023-08-16T21:03:35Z
libpg_query,pganalyze,14223715.0,287142.0,4350015.75,7.990037861997636,1997550.9122897028,alive,3.323402777777778,True,verify,2024-01-09T04:54:04Z
pg_query_go,pganalyze,35082515.0,7605302.0,10619366.949999997,21.8105599606136,4989011.6797677735,alive,88.0243287037037,True,verify,2024-01-10T06:27:45Z
vimium,philc,11968298.0,15211.0,371993.4000000015,1.0649847050045915,441864.3300428835,alive,0.17605324074074075,True,True,2024-02-05T06:25:04Z
qoi,phoboslab,4490431.0,999293.0,1045042.1000000017,2.171913700810185,587781.4025935448,alive,11.565891203703703,True,verify,2024-01-18T19:40:14Z
phoenix,phoenixframework,2081632.0000000002,31113.0,193277.0,0.4493724816817824,99158.05576708127,alive,0.36010416666666667,True,True,2024-02-23T08:39:30Z
PHPMailer,PHPMailer,36776017.0,6705.0,923431.0999999993,2.3826095249425014,1265890.4656572728,alive,0.07760416666666667,True,True,2024-01-31T22:05:36Z
quickstart,plaid,11256946.0,452840.0,1828033.000000002,4.182834408782703,1045319.0477225012,alive,5.241203703703704,True,verify,2023-12-19T20:50:43Z
server-bot-quick-start,poe-platform,2308104.0,105382.0,1285196.5000000007,3.9286697706228955,472589.577571028,alive,1.219699074074074,True,True,2024-02-26T21:44:25Z
pouchdb,pouchdb,26287262.0,54559.0,281069.1999999997,0.9638373256361407,505819.05678442377,alive,0.6314699074074074,True,True,2024-02-23T10:50:16Z
PowerShell,PowerShell,2396747.0,3225.0,125109.19999999997,0.3059109302418709,70663.34163795966,alive,0.03732638888888889,True,True,2024-02-26T23:11:19Z
quasar-admin,pratik227,12616684.0,241597.0,5978809.599999997,12.596494598765432,2235630.226346636,alive,2.796261574074074,True,True,2024-01-31T05:02:31Z
pyenv,pyenv,6839945.0,103774.0,619000.6,1.399102457164703,306355.85904217086,alive,1.201087962962963,True,True,2024-02-25T21:07:52Z
qalculate-gtk,Qalculate,76319479.0,226770.0,1257398.0,4.452064378274056,2736960.9770069374,alive,2.624652777777778,True,True,2024-02-19T10:41:58Z
qb-ambulancejob,qbcore-framework,8473923.0,678683.0,839910.699999999,2.714733931270921,711828.8688829755,alive,7.855127314814815,True,True,2024-02-11T11:54:43Z
qb-banking,qbcore-framework,9878612.0,678653.0,3899590.3000000003,6.61647478505291,1348933.4016215084,alive,7.854780092592593,True,True,2024-02-11T11:54:56Z
qb-clothing,qbcore-framework,14484433.0,1522716.0,2422885.1,6.417653276105966,1604772.3145341752,alive,17.624027777777776,True,True,2024-02-11T11:55:32Z
qb-drugs,qbcore-framework,6247472.0,678595.0,2342581.2499999995,5.665133313572719,1058318.8713661104,alive,7.8541087962962965,True,True,2024-02-11T11:56:55Z
qb-garages,qbcore-framework,9980611.0,2602.0,1668984.45,3.9134527874228398,945269.9740300896,alive,0.03011574074074074,True,True,2024-02-11T11:57:03Z
qb-inventory,qbcore-framework,3864713.0000000005,159521.0,1030877.0000000001,2.4603942475940506,535043.6187210655,alive,1.8463078703703704,True,True,2024-02-16T02:40:35Z
qb-radialmenu,qbcore-framework,24968247.0,678400.0,1722435.0999999996,4.565254572893973,1846111.6666670227,alive,7.851851851851852,True,True,2024-02-16T09:33:51Z
qb-shops,qbcore-framework,12094342.0,1248886.0,1908966.2500000002,4.95378111310235,1238473.7184045266,alive,14.454699074074075,True,True,2024-02-11T11:59:45Z
qb-smallresources,qbcore-framework,7904638.000000001,703986.0,930951.0,2.4438714214542627,713990.322060024,alive,8.147986111111111,True,True,2024-02-11T11:59:52Z
qb-vehiclekeys,qbcore-framework,13166457.0,994506.0,1903385.2999999977,4.407615906084656,1181185.6879978937,alive,11.510486111111112,True,True,2024-02-16T08:41:15Z
qb-weapons,qbcore-framework,7306823.0,1530975.0,2435122.6499999994,5.2892793475947215,1100914.6093683094,alive,17.719618055555557,True,True,2024-02-11T12:01:16Z
qdleader,qdleader,2320135.0,40398.0,290393.5,1.3902201348455443,155077.1991181056,alive,0.4675694444444444,True,True,2024-02-26T02:35:53Z
qdrant,qdrant,2315919.0,4540.0,255300.09999999995,0.6372692389455782,146011.4810714981,alive,0.0525462962962963,True,True,2024-02-16T10:29:35Z
qiime2,qiime2,7512083.000000001,1754165.0,2128822.299999995,5.470288653804583,876454.298742138,alive,20.302835648148147,True,True,2024-02-16T21:49:33Z
qshell,qiniu,14172671.0,655254.0,665458.0999999999,1.7649809934934935,645086.1582826548,alive,7.583958333333333,True,True,2024-02-01T09:05:12Z
qiskit-machine-learning,qiskit-community,4861741.0,9258.0,926651.2999999989,2.8808037167557274,447745.34992407466,alive,0.10715277777777778,True,True,2024-02-22T17:18:03Z
qiskit-translations,qiskit-community,2241621.0,9040.0,277627.24999999977,0.7329453944987333,153614.99658707654,alive,0.10462962962962963,True,verify,2024-01-25T19:29:25Z
qiskit-aer,Qiskit,2720615.0,39345.0,525336.6,1.292498030772871,226177.84612513694,alive,0.45538194444444446,True,True,2024-02-20T14:22:33Z
qmk_configurator,qmk,7064515.0,260219.0,686707.5499999998,1.8802497032288699,372472.40707069426,alive,3.0117939814814814,True,verify,2024-01-16T05:05:24Z
